"SSN","Cluster","Plot","LWN"
"icr030123",6,2,
"icr030218",11,1,
"icr030238",12,1,
"icr030258",13,1,
"icr030276",14,1,
"icr030316",16,1,
"icr030335",1,3,
"icr030368",3,7,
"icr030376",4,1,
"icr030377",4,1,
"icr030438",9,1,
"icr030439",9,1,
"icr030458",10,1,
"icr030494",12,1,
"icr030572",16,2,
"icr033372",2,1,
"icr033392",3,2,
"icr033427",6,1,
"icr033428",6,1,
"icr033448",7,1,
"icr033487",10,1,
"icr033545",14,1,
"icr033621",2,1,
"icr033697",6,1,
"icr033970",4,1,
"icr034110",11,1,
"icr034111",11,1,
"icr034210",16,1,
"icr034302",3,1,
"icr034461",11,2,
"icr034501",13,1,
"icr034522",14,1,
"icr034694",5,2,
"icr034734",7,1,
"icr037767",2,1,
"icr037843",5,9,
"icr037870",7,2,
"icr037908",9,1,
"icr038289",11,6,
"icr038351",15,1,
"icr041740",6,1,
"icr041819",10,1,
"icr041879",13,1,
"icr041935",16,1,
"icr042134",9,1,
"icr042170",11,1,
"icr042227",14,1,
"icr042810",2,2,
"icr042868",5,1,
"icr043011",12,4,
"icr043132",1,1,
"icr043172",3,1,
"icr043211",5,1,
"icr048468",2,1,
"icr048520",5,1,
"icr048602",10,1,
"icr048622",11,1,
"icr048793",5,1,
"icr048854",9,3,
"icr048912",13,1,
"icr048977",1,1,
"icr048978",1,1,
"icr048986",2,1,
"icr048992",2,6,
"icr048993",2,6,
"icr049022",5,1,
"icr049045",6,3,
"icr049177",1,1,
"icr049458",15,1,
"icr049796",16,1,
"icr049835",2,1,
"icr049954",8,1,
"icr050034",12,1,
"icr050174",3,1,
"icr050194",4,1,
"icr050334",11,1,
"icr054293",8,1,
"icr054344",11,1,
"icr054387",14,1,
"icr054550",8,5,
"icr054641",13,3,
"icr055961",5,1,
"icr056162",15,1,
"icr056200",1,1,
"icr056340",8,1,
"icr056400",11,1,
"icr056461",14,1,
"icr056480",15,1,
"icr062134",1,1,
"icr062353",12,1,
"icr062433",16,1,
"icr068539",7,1,
"icr068677",14,1,
"icr068718",16,1,
"icr072326",5,1,
"icr072445",11,1,
"icr072676",5,1,
"icr072696",6,1,
"icr072776",10,1,
"icr072816",12,1,
"icr073379",5,1,
"icr074911",15,1,
"icr075241",14,1,
"icr075281",16,1,
"icr075350",2,1,
"icr075391",4,2,
"icr075430",6,1,
"icr075469",8,1,
"icr075696",2,1,
"icr076444",6,1,
"icr076464",7,1,
