SSN,Albite,Diopside,Hematite,Hornblende,Kaolinite,Maghemite,Microcline,Montmorillonite,Muscovite,Nacrite,Quartz,Tremolite,Halloysite,Magnetite,Epidote,Fayalite
icr024868,7.2,3.2,NA,NA,NA,NA,30.5,NA,NA,2,57.1,NA,NA,NA,NA,NA
icr024869,5.4,3,NA,NA,NA,NA,28.2,3,NA,1.7,58.8,NA,NA,NA,NA,NA
icr024879,7,2.3,NA,NA,NA,NA,21,3.5,NA,2,64,NA,NA,NA,NA,NA
icr024880,7.1,NA,NA,NA,NA,4.7,22.9,4.3,NA,2.5,58.5,NA,NA,NA,NA,NA
icr024899,6.8,NA,NA,NA,NA,3.2,28.3,NA,NA,1.5,60.2,NA,NA,NA,NA,NA
icr024900,5.3,NA,NA,NA,NA,4.2,26.9,NA,2.2,1.7,59.7,NA,NA,NA,NA,NA
icr024917,10.9,2.9,NA,NA,NA,NA,23.3,NA,NA,0.8,62,NA,NA,NA,NA,NA
icr024918,10.3,2.3,NA,1.9,NA,NA,22.2,NA,2,0.6,60.7,NA,NA,NA,NA,NA
icr024937,7,2,NA,1.8,NA,NA,16.7,NA,NA,0.8,71.6,NA,NA,NA,NA,NA
icr024938,6.4,1.9,NA,2,NA,NA,16.8,NA,NA,1.1,71.8,NA,NA,NA,NA,NA
icr024956,7.2,2.9,NA,NA,NA,NA,29.4,NA,NA,1.6,55.9,3,NA,NA,NA,NA
icr024957,8,NA,NA,1.9,NA,4.8,27.8,NA,2.6,2.4,52.5,NA,NA,NA,NA,NA
icr024976,3.1,NA,NA,2.7,NA,NA,11.2,NA,2.2,1.1,79.7,NA,NA,NA,NA,NA
icr024977,5.6,1.8,NA,NA,NA,NA,12.6,NA,2.3,1.4,76.4,NA,NA,NA,NA,NA
icr024994,6.6,NA,NA,2.1,NA,NA,30.1,NA,3.5,1.8,55.9,NA,NA,NA,NA,NA
